timestamps,IR,RED
51.7608,123567,100698
51.8076,123719,100826
51.8544,123914,100928
51.9012,124175,101025
51.948,124582,101169
51.9948,124737,101174
52.0416,124868,101084
52.0884,123791,100616
52.1352,123002,100496
52.182,122948,100504
52.2288,123132,100568
52.2756,123338,100635
52.3224,123431,100675
52.3692,123637,100698
52.416,123552,100716
52.4628,123720,100798
52.5096,123924,100917
52.5564,124246,100971
52.6032,124409,101065
52.65,124538,101162
52.6968,124660,101145
52.7436,124837,101211
52.7904,124740,100946
52.8372,123422,100506
52.884,123030,100603
52.9308,123253,100590
52.9776,123353,100628
53.0244,123484,100703
53.0712,123522,100688
53.118,123484,100685
53.1648,123534,100725
53.2116,123711,100793
53.2584,123940,100916
53.3052,124182,101002
53.352,124558,101115
53.3988,124733,101174
53.4456,124833,101109
53.4924,123867,100623
53.5392,123015,100399
53.586,122917,100440
53.6328,123044,100535
53.6796,123194,100565
53.7264,123289,100644
53.7732,123486,100623
53.82,123446,100714
53.8668,123579,100729
53.9136,123740,100842
53.9604,123977,100928
54.0072,124164,101038
54.054,124388,101023
54.1008,124454,101099
54.1476,124568,101165
54.1944,124758,101128
54.2412,124410,100711
54.288,122956,100449
54.3348,123153,100514
54.3816,123241,100608
54.4284,123356,100665
54.4752,123588,100650
54.522,123564,100675
54.5688,123534,100647
54.6156,123606,100710
54.6624,123798,100855
54.7092,124073,100891
54.756,124475,101061
54.8028,124561,101140
54.8496,124672,101138
54.8964,124813,101124
54.9432,124148,100659
54.99,123098,100458
55.0368,122950,100455
55.0836,123127,100542
55.1304,123245,100600
55.1772,123394,100683
55.224,123475,100614
55.2708,123485,100692
55.3176,123665,100782
55.3644,123857,100879
55.4112,124123,100957
55.458,124263,101009
55.5048,124370,101034
55.5516,124472,101081
55.5984,124628,101118
55.6452,124218,100687
55.692,122936,100460
55.7388,123103,100500
55.7856,123261,100584
55.8324,123354,100642
55.8792,123533,100629
55.926,123507,100589
55.9728,123454,100626
56.0196,123511,100694
56.0664,123651,100782
56.1132,123919,100857
56.16,124287,101012
56.2068,124399,101012
56.2536,124507,101069
56.3004,124548,100914
56.3472,123500,100497
56.394,122929,100398
56.4408,122850,100448
56.4876,123073,100490
56.5344,123199,100523
56.5812,123230,100582
56.628,123369,100631
56.6748,123377,100608
56.7216,123484,100697
56.7684,123675,100781
56.8152,123877,100823
56.862,124086,100875
56.9088,124157,100945
56.9556,124262,100985
57.0024,124370,101005
57.0492,124453,100951
57.096,122838,100367
57.1428,122955,100414
57.1896,123066,100486
57.2364,123197,100514
57.2832,123280,100599
57.33,123356,100596
57.3768,123429,100542
57.4236,123394,100587
57.4704,123477,100665
57.5172,123644,100748
57.564,124224,100882
57.6108,124276,100917
57.6576,124426,100951
57.7044,124480,100984
57.7512,124621,101073
57.798,124402,100707
57.8448,123186,100376
57.8916,122916,100289
57.9384,123049,100396
57.9852,123233,100481
58.032,123475,100608
58.0788,123478,100571
58.1256,123407,100579
58.1724,123490,100621
58.2192,123588,100713
58.266,123819,100797
58.3128,124033,100837
58.3596,124206,100857
58.4064,124313,100915
58.4532,124327,100974
58.5,123270,100422
58.5468,122921,100336
58.5936,122954,100434
58.6404,123149,100512
58.6872,123309,100555
58.734,123461,100605
58.7808,123526,100552
58.8276,123464,100573
58.8744,123397,100593
58.9212,123560,100680
58.968,124076,100858
59.0148,124185,100908
59.0616,124284,100936
59.1084,124464,100976
59.1552,124558,100997
59.202,124158,100592
59.2488,123049,100340
59.2956,122817,100328
59.3424,122965,100424
59.3892,123172,100513
59.436,123457,100515
59.4828,123433,100592
59.5296,123394,100581
59.5764,123466,100627
59.6232,123579,100679
59.67,123833,100777
59.7168,124027,100820
59.7636,124201,100824
59.8104,124224,100918
59.8572,124349,100935
59.904,123573,100435
59.9508,122953,100233
59.9976,122854,100337
60.0444,122986,100412
60.0912,123104,100446
60.138,123208,100503
60.1848,123302,100532
60.2316,123308,100510
60.2784,123363,100500
60.3252,123439,100517
