time(second),IR,RED,,,,,,,,,
9.68,216836,229566,,,,,,,,,
9.7,216884,229746,,,,,,,,,
9.72,217069,229643,,,,,,,,,
9.74,216916,229714,,,,,,,,,
9.76,216956,229870,,,,,,,,,
9.78,217118,229769,,,,,,,,,
9.8,216996,229834,,,,,,,,,
9.82,216980,229948,,,,,,,,,
9.84,217128,229938,,,,,,,,,
9.86,217013,229954,,,,,,,,,
9.88,217064,230081,,,,,,,,,
9.9,217173,230042,,,,,,,,,
9.92,217060,229987,,,,,,,,,
9.94,216995,229952,,,,,,,,,
9.96,217086,229598,,,,,,,,,
9.98,216878,229437,,,,,,,,,
10,216855,229318,,,,,,,,,
10.02,216877,229108,,,,,,,,,
10.04,216716,228896,,,,,,,,,
10.06,216692,228830,,,,,,,,,
10.08,216698,228689,,,,,,,,,
10.1,216579,228550,,,,,,,,,
10.12,216549,228523,,,,,,,,,
10.14,216627,228377,,,,,,,,,
10.16,216441,228424,,,,,,,,,
10.18,216623,228392,,,,,,,,,
10.2,216396,228496,,,,,,,,,
10.22,216620,228414,,,,,,,,,
10.24,216439,228474,,,,,,,,,
10.26,216625,228395,,,,,,,,,
10.28,216448,228423,,,,,,,,,
10.3,216619,228375,,,,,,,,,
10.32,216469,228382,,,,,,,,,
10.34,216553,228354,,,,,,,,,
10.36,216459,228477,,,,,,,,,
10.38,216572,228475,,,,,,,,,
10.4,216551,228504,,,,,,,,,
10.42,216573,228535,,,,,,,,,
10.44,216663,228578,,,,,,,,,
10.46,216517,228711,,,,,,,,,
10.48,216731,228654,,,,,,,,,
10.5,216569,228758,,,,,,,,,
10.52,216655,228757,,,,,,,,,
10.54,216746,228833,,,,,,,,,
10.56,216654,228845,,,,,,,,,
10.58,216779,228855,,,,,,,,,
10.6,216745,228902,,,,,,,,,
10.62,216744,229034,,,,,,,,,
10.64,216851,229045,,,,,,,,,
10.66,216789,229106,,,,,,,,,
10.68,216771,229244,,,,,,,,,
10.7,216956,229173,,,,,,,,,
10.72,216872,229275,,,,,,,,,
10.74,216830,229422,,,,,,,,,
10.76,216998,229371,,,,,,,,,
10.78,216948,229415,,,,,,,,,
10.8,216952,229530,,,,,,,,,
10.82,217043,229565,,,,,,,,,
10.84,216997,229546,,,,,,,,,
10.86,217037,229684,,,,,,,,,
10.88,217083,229733,,,,,,,,,
10.9,217018,229709,,,,,,,,,
10.92,217062,229732,,,,,,,,,
10.94,217073,229615,,,,,,,,,
10.96,216945,229433,,,,,,,,,
10.98,216833,229174,,,,,,,,,
11,216844,229040,,,,,,,,,
11.02,216753,228911,,,,,,,,,
11.04,216662,228717,,,,,,,,,
11.06,216682,228604,,,,,,,,,
11.08,216608,228515,,,,,,,,,
11.1,216557,228343,,,,,,,,,
11.12,216583,228311,,,,,,,,,
11.14,216496,228283,,,,,,,,,
11.16,216430,228337,,,,,,,,,
11.18,216653,228320,,,,,,,,,
11.2,216455,228439,,,,,,,,,
11.22,216726,228382,,,,,,,,,
11.24,216477,228453,,,,,,,,,
11.26,216690,228390,,,,,,,,,
11.28,216514,228467,,,,,,,,,
11.3,216718,228419,,,,,,,,,
11.32,216540,228513,,,,,,,,,
11.34,216728,228459,,,,,,,,,
11.36,216610,228454,,,,,,,,,
11.38,216675,228547,,,,,,,,,
11.4,216607,228619,,,,,,,,,
11.42,216712,228648,,,,,,,,,
11.44,216713,228666,,,,,,,,,
11.46,216688,228697,,,,,,,,,
11.48,216863,228805,,,,,,,,,
11.5,216703,228825,,,,,,,,,
11.52,216802,228919,,,,,,,,,
11.54,216776,228939,,,,,,,,,
11.56,216788,229006,,,,,,,,,
11.58,216957,229032,,,,,,,,,
11.6,216767,229101,,,,,,,,,
11.62,216829,229095,,,,,,,,,
11.64,216993,229180,,,,,,,,,
11.66,216843,229275,,,,,,,,,
11.68,216912,229293,,,,,,,,,
11.7,217062,229349,,,,,,,,,
11.72,216961,229432,,,,,,,,,
11.74,216973,229623,,,,,,,,,
11.76,217150,229513,,,,,,,,,
11.78,217003,229595,,,,,,,,,
11.8,217000,229749,,,,,,,,,
11.82,217201,229670,,,,,,,,,
11.84,217101,229793,,,,,,,,,
11.86,217082,229953,,,,,,,,,
11.88,217253,229855,,,,,,,,,
11.9,217174,229973,,,,,,,,,
11.92,217161,230060,,,,,,,,,
11.94,217285,229967,,,,,,,,,
11.96,217160,229745,,,,,,,,,
11.98,217105,229616,,,,,,,,,
12,217074,229414,,,,,,,,,
12.02,216912,229152,,,,,,,,,
12.04,216916,229085,,,,,,,,,
12.06,216926,228926,,,,,,,,,
12.08,216766,228750,,,,,,,,,
12.1,216759,228696,,,,,,,,,
12.12,216761,228553,,,,,,,,,
12.14,216638,228377,,,,,,,,,
12.16,216559,228397,,,,,,,,,
12.18,216824,228373,,,,,,,,,
12.2,216605,228446,,,,,,,,,
12.22,216828,228465,,,,,,,,,
12.24,216609,228513,,,,,,,,,
12.26,216868,228474,,,,,,,,,
12.28,216628,228534,,,,,,,,,
12.3,216880,228552,,,,,,,,,
12.32,216630,228591,,,,,,,,,
12.34,216833,228624,,,,,,,,,
12.36,216695,228643,,,,,,,,,
12.38,216825,228653,,,,,,,,,
12.4,216775,228737,,,,,,,,,
12.42,216804,228775,,,,,,,,,
12.44,216763,228806,,,,,,,,,
12.46,216813,228816,,,,,,,,,
12.48,216966,228912,,,,,,,,,
12.5,216817,229011,,,,,,,,,
12.52,216958,228963,,,,,,,,,
12.54,216867,229061,,,,,,,,,
12.56,216884,229215,,,,,,,,,
12.58,217048,229131,,,,,,,,,
12.6,216870,229205,,,,,,,,,
12.62,216923,229242,,,,,,,,,
